Nombre,Año de nacimiento,Óscar,Famoso por,Profesión
Ruckers Tomb,Desconocido,No tiene galardones ni nominaciones,['Sin datos'],2019
Renny Jachowicz,Desconocido,No tiene galardones ni nominaciones,"['Built to Kill', 'Corporate Prey', 'Titleless', '2019', 'David Yersin']",Reparto
Meri Spencer,Desconocido,Nominado,"['Monster Pool: Seven Deadly Sins', 'The Stars Look Tired', '4,2', '8,5']","Reparto, Dirección de producción"
Quinn Bennett,Desconocido,No tiene galardones ni nominaciones,"['El Pacificador', '2022 • 4 episodios', '2016']",Reparto
Valerie Taller,Desconocido,Nominado,"['Monster Pool: Seven Deadly Sins', 'She Must Vanish', '2019']",Reparto
Kevin Kozachanko,Desconocido,Nominado,"['She Must Vanish', '2019']",Reparto
Geneviève Bigras,Desconocido,No tiene galardones ni nominaciones,"['Raiders of the Lost Shark', 'We Are the Missing', 'Hens Night', 'Countrycide']","Maquillaje, Reparto, Efectos especiales"
Melanie Bujold,Desconocido,Nominado,"['She Must Vanish', '2019']",Reparto
Vicky Leclair,Desconocido,Nominado,"['She Must Vanish', '2019']",Reparto
Denis Madore,Desconocido,Nominado,"['She Must Vanish', '2019']",Reparto
J.J. Nolan,octubre,Nominado,"['Pretty Problems', 'Snatchers', 'Chicago Med', '2021 • 1 episodio', 'Karen(as JJ Nolan)']","Reparto, Producción, Dirección de arte"
Rich Fulcher,1968,Nominado,"['The Mighty Boosh', '2003–2007 • 20 episodios', '2023', 'RichVariousDick Bent', 'Judge']","Reparto, Producción, Guion"
Amy Landecker,1969,Nominado,"['Como la vida misma', 'Un tipo serio', 'Transparent', '2014–2019 • 42 episodios', '2020']","Reparto, Dirección, Producción"
Logan Rogan,Desconocido,Nominado,"['Santos y soldados 3', 'Snatchers', 'The Basket Case', ""You're So Cupid!""]",Reparto
Thomas Johnston,Desconocido,No tiene galardones ni nominaciones,"['Stand on It!', 'Viridian', 'Paul', 'RR Confederate Soldier']","Reparto, Dirección de la segunda unidad o asistencia a dirección, Producción"
Wicken Taylor,Desconocido,No tiene galardones ni nominaciones,"['Igual eres el asesino', 'Rent-a-Ryde', 'Película de TV', 'Corto']","Reparto, Equipos adicionales, Producción"
Like a Virus,Desconocido,No tiene galardones ni nominaciones,['Sin datos'],2020
Kimmy Robertson,1954,No tiene galardones ni nominaciones,"['La bella y la bestia', 'Cariño, he encogido a los niños', 'Stuart Little', 'Speed 2']","Reparto, Guion"
Shane Almagor,Desconocido,No tiene galardones ni nominaciones,"['Tripulación esquelética', 'A Dark Foe', 'Gangster land', 'Revolvers']",Reparto
Mosh,Desconocido,Nominado,"['Replicantes', 'The Boy in the Woods', 'La ley de Comey', '2020 • 2 episodios', 'Handmaid Fugitive 3']","Reparto, Producción"
Kevin Ragsdale,Desconocido,No tiene galardones ni nominaciones,"['Ghost House', 'Edmond', 'El corazón es mentiroso', 'Vamps']","Producción, Reparto, Dirección de fotografía y cámara"
Grace Westlin,Desconocido,No tiene galardones ni nominaciones,"[""A Turkey's Time"", 'The Loop', '2019']","Reparto, Producción"
Meghan Goodman,Desconocido,Nominado,"['Capitol Murder', '2020 • 1 episodio', '2023', 'Javaboyz']",Reparto
Jesse Moore-Hendrickson,Desconocido,Nominado,"['One for the Road', 'Corto', '2017', '2016']","Reparto, Dirección, Guion"
Zoloman Spivik,Desconocido,Nominado,"[""'til Death Do Us Part""]",Reparto
Jason Whited,Desconocido,No tiene galardones ni nominaciones,"['Capitol Murder', '2020 • 6 episodios', 'Jack', 'John Mills', 'Fisherman']","Reparto, Producción, Guion"
Jessica Clark,1985,No tiene galardones ni nominaciones,"['Pocket Listing', 'True Blood', '2012–2013 • 8 episodios', ""ChantalMichael's stepmother"", 'Paris']","Reparto, Guion, Producción"
James C. Burns,1959,Nominado,"['Call of Duty: Black Ops 4', '2018', 'Frank Woods(voz)', 'Videojuego', '6,6']","Reparto, Guion, Producción"
Alexander Ward,Desconocido,Nominado,"['Ejército de los muertos', 'Annabelle vuelve a casa', 'Westworld', '2018–2022 • 7 episodios', 'Addiction DemonMattress Man(sin acreditar)']","Reparto, Especialistas, Arte"
Heather Foster,Desconocido,No tiene galardones ni nominaciones,"['Fuego cruzado', 'Yo, Frankenstein', 'Flores rotas', 'Fuga de Pretoria']","Equipos adicionales, Reparto"
Michelle Falanga,Desconocido,Nominado,"['Subscribed', '2022', 'Laurel Tooms(voz)', 'Cindy', 'Chaniqua Chavez-Goldstein']",Reparto
Angga Yunanda,2000,Nominado,"['Dua Garis Biru', 'Kisah untuk Geri', '2021 • 9 episodios', '2021', '2020']","Reparto, Banda sonora"
Teuku Ryzki,Desconocido,Nominado,"['Coboy Junior: The Movie', 'Ada Cinta Di SMA', 'Death Whisper', 'Comic 8']","Reparto, Banda sonora"
Arya Vasco,Desconocido,No tiene galardones ni nominaciones,"['Gossip Girl Indonesia', '2020 • 8 episodios', '2019', 'Nico', 'Jeffry']",Reparto
Naomi Paulinda,Desconocido,Nominado,"['Alas Pati: Hutan Mati', 'Death Whisper', 'Serendipity', 'MeloDylan']",Reparto
Unique Priscilla,1970,No tiene galardones ni nominaciones,"['Sampai Ajal Memisahkan', 'Sri Asih', 'Acuerdo de boda: La serie', '2022–2023 • 18 episodios', '2023']",Reparto
Verdi Solaiman,Desconocido,Nominado,"['Halfworlds', '2015–2016 • 3 episodios', '2012']","Reparto, Dirección, Producción"
Dayu Wijanto,Desconocido,Nominado,"['Selamat Pagi, Malam', 'Foxtrot Six', 'Adagium', 'Night Bus']","Reparto, Producción"
Sonia Alyssa,Desconocido,No tiene galardones ni nominaciones,"['Feliz ve jenny', '2022 • 4 episodios', 'Angel', 'Devi', 'Student Live Broadcast']",Reparto
Abarrane Issabeau,Desconocido,Nominado,['Death Whisper'],Reparto
Margaret Flock,Desconocido,No tiene galardones ni nominaciones,"['A Guide to Murder', '2023', 'Dandy Donut Employee(sin acreditar)', 'Annabeth', 'Vestuario']","Reparto, Vestuario"
Rachel Stacy,Desconocido,No tiene galardones ni nominaciones,"['My Future Voice Podcast', 'An Occurrence on Old Howler Road', 'Murder Chose Me', '2018 • 1 episodio', '2022']",Reparto
Kyle Tutton,Desconocido,No tiene galardones ni nominaciones,"['Uncommon Law', 'Exiled from Eden']",Reparto
Exiled from Eden,Desconocido,Nominado,['Sin datos'],2019
Keegan Jackson,Desconocido,Nominado,['The Visit'],Reparto
Meghan Hemingway,Desconocido,Nominado,"['La misteriosa sociedad Benedict', '2021 • 1 episodio', 'Angry Mom(sin acreditar)', 'News Reporter', 'Corto']","Reparto, Dirección, Guion"
Laura Carly Miller,Desconocido,No tiene galardones ni nominaciones,"['Love, Lights, Hanukkah!', '2020', 'Birthday Mom', 'Película de TV', '7,2']","Reparto, Producción, Guion"
Cayetana Molla,Desconocido,Nominado,"['Ni tan Bella', 'The Babylicious Vlog', 'Captured', 'The Moviegoer']",Reparto
Zipporah Dorsey,Desconocido,No tiene galardones ni nominaciones,"['My Friend, I Like War', 'Ludere', 'Drones']",Reparto
Alicia Cornide,Desconocido,Nominado,['The Shoes'],Reparto
Iria Gonzalez,Desconocido,Nominado,['Miliki Family'],Dirección
Valentina Ortiz,Desconocido,Nominado,"['Desafio', '2017 • 85 episodios']",Sin datos
Adriana Segador,Desconocido,Nominado,['The Shoes'],Reparto
Brandon Cypel,Desconocido,Nominado,"['Rideshare', 'The Chef', '2019', '2021', '2021']",Reparto
Ruby Hetherington,Desconocido,No tiene galardones ni nominaciones,"['Rideshare', 'Queen of Hearts: A Twin Peaks Fan Film', 'Narcosis', 'Girl']","Reparto, Equipos adicionales, Música"
Alberto Bona,1978,Nominado,"[""L'Assenza"", '2013', '2021', '2019', '2004']","Reparto, Producción, Guion"
Federico Cicardi,Desconocido,Nominado,"['Piercing Stillness', 'The Scrupulous Torment of the Polite Man', '2008', '2009']","Guion, Dirección de arte, Reparto"
Junko Emoto,Desconocido,No tiene galardones ni nominaciones,"['Kagekiha opera', 'Kimyô na sâkasu', 'Conociendo a Matsuko', 'USB']","Reparto, Guion, Dirección"
Satoru Matsuo,1975,No tiene galardones ni nominaciones,"['Shin Godzilla', 'Ataque a los titanes', 'Anime Fan Tom', 'The Last Cop: Episode 0', '2016 • 3 episodios']",Reparto
Shingo Mizusawa,Desconocido,No tiene galardones ni nominaciones,"['El niño y la bestia', 'Koi wa deep ni', '2021 • 9 episodios', '2021', '2016']",Reparto
Ayumu Mochizuki,Desconocido,No tiene galardones ni nominaciones,"['Shippû rondo', 'My Love Mix-Up!', '2021 • 9 episodios', 'Soromon no gishou']",Reparto
Ryû Morioka,Desconocido,Nominado,"['Nyû taun no seishun', 'Dirección', '2010', '2020']","Reparto, Dirección, Guion"
Naomi Nishida,1972,Nominado,"['Nabbie no koi', 'Himitsu no hanazono', 'Godzilla 2000: Millennium', 'Gakkô no kaidan 3']",Reparto
Tarô Suwa,1954,No tiene galardones ni nominaciones,"['Battle Royale', 'Shin Godzilla', 'Dark Water', 'Despedidas']",Reparto
Anna Yamada,2001,No tiene galardones ni nominaciones,"['Hiraite', 'Sumika Sumire 45-sai Wakagaetta Onna', '2016 • 7 episodios', '2018', '2022']",Reparto
Mutsuo Yoshioka,1976,Nominado,"['Sex mashin: Hiwai na kisetsu', 'Ojisan tengoku', 'Fushidara na onna mahiru ni nureru', '6,2']",Reparto
Lisbeth Combe,Desconocido,Nominado,['Rencontre'],Reparto
Nathalie Comoy,Desconocido,Nominado,['Rencontre'],Reparto
Ariane Gremigni,Desconocido,No tiene galardones ni nominaciones,"['A Real Vermeer', 'Rencontre', 'Quelques minutes avant la nuit', 'Racines']",Reparto
Rémi Protin,Desconocido,Nominado,"['Danse', 'Corto', 'Corto', 'Corto']","Dirección, Guion, Dirección de fotografía y cámara"
Sandra Molins,Desconocido,No tiene galardones ni nominaciones,"['En el corazón del mar', 'Mamma Mia! Una y otra vez', 'Wonder Woman 1984']",Equipos adicionales
Claudia Puntí,Desconocido,Nominado,"['Verdad o Atrevimiento', 'True Love']",Reparto
Ben Lamb,enero,No tiene galardones ni nominaciones,"['Divergente', 'Ahora me ves 2', 'Un príncipe de Navidad', 'La reina blanca', '2013 • 8 episodios']",Reparto
Alice Krige,1954,Nominado,"['Star Trek: Primer contacto', 'Gretel & Hansel. Un oscuro cuento de hadas', 'Sonámbulos', 'Thor: El mundo oscuro']","Reparto, Producción, Guion"
Honor Kneafsey,2004,Nominado,"['La casa torcida', 'Wolfwalkers', 'The Bookshop (La librería)', 'Miss You Already (Ya te extraño)']","Reparto, Banda sonora"
Kevin Shen,Desconocido,No tiene galardones ni nominaciones,"['La protectora', 'Código abierto', 'Un príncipe de Navidad: Bebé real', 'Angel Island']","Reparto, Guion"
Sarah Douglas,1952,Nominado,"['Superman', 'Superman II: La aventura continúa', 'Conan, el destructor', 'Superman II: El montaje de Richard Donner']",Reparto
Theo Devaney,Desconocido,Nominado,"['Un príncipe de Navidad', 'Sobrenatural', '2014–2017 • 2 episodios', '2019', 'Winston']","Reparto, Producción, Guion"
Richard Ashton,1965,No tiene galardones ni nominaciones,"['El quinto elemento', 'Hellraiser', 'The New Adventures of Robin Hood', '1997–1999 • 52 episodios', '2003']","Reparto, Equipos adicionales"
Raj Bajaj,Desconocido,No tiene galardones ni nominaciones,"['Doctor Who', '2014 • 1 episodio', '2015', 'Mo Jafari', 'Families in the stash room(as Rajendra Bajaj)']",Reparto
Jess Taylor,Desconocido,No tiene galardones ni nominaciones,"['Quiet Hours Enforced', 'Satisfaction', 'Anxiety', 'Blood&Shadows']","Producción, Dirección, Edición"
Johanna Thea,Desconocido,No tiene galardones ni nominaciones,"['Sin tiempo para morir', 'Ready Player One', 'Venom: Habrá matanza', 'Riding High']","Reparto, Equipos adicionales, Guion"
Nicole McBride,Desconocido,Nominado,"['Dream School', '2014 • 6 episodios', 'Dirección de arte']",Dirección de arte
Zon Simmons,Desconocido,No tiene galardones ni nominaciones,"['Plague UK', 'The Bounty Killers', 'The Bomb', 'Beneath the Silence']","Reparto, Dirección, Producción"
Mo Omar,Desconocido,Nominado,"['The Bystanders', 'Disquiet', 'The Joy of Missing Out', 'Still Standing']",Reparto
Natasha Colenso,Desconocido,No tiene galardones ni nominaciones,"['Disquiet', 'Plague UK']",Reparto
Justin Smith,Desconocido,Nominado,"['Sleeping Beauty', 'Piratas del Caribe: La venganza de Salazar', 'Tammy', 'Queen Kat, Carmel & St Jude', '1999 • 3 episodios']","Reparto, Equipos adicionales, Banda sonora"
Omar Hamza,Desconocido,Nominado,"['Gacal', 'Dirección', 'Dirección', 'Dirección']","Dirección, Guion, Dirección de fotografía y cámara"
Robert Wittenberg,Desconocido,Nominado,"['Delitos del pasado', 'The Re-Enactor', ""Devil's Bargain"", ""Comedy Central Thanxgiveaway Wiikend: 'Ving Break""]","Reparto, Casting"
Bella Roman,Desconocido,Nominado,['Crystal'],Reparto
Max Arellano,Desconocido,Nominado,['Witness to Murder'],Reparto
Kendall Cato,Desconocido,No tiene galardones ni nominaciones,"['Killer Profile', '2021', 'Harmony', 'Nicole', 'Teen Ella']",Reparto
Kristine Sullivan,Desconocido,Nominado,"['33', 'Happily Ever Spinster', '2014', '2014']","Guion, Reparto, Producción"
Bruce Nehlsen,Desconocido,Nominado,"['A Good Girl', '7,7', 'Allen Dulles', 'Charles']",Reparto
Broderick Whittaker,Desconocido,Nominado,['IMDbPro'],Sin datos
David Alan Graf,1959,No tiene galardones ni nominaciones,"['Bang', 'Pups', 'Oscura inocencia', ""This Girl's Life""]","Reparto, Producción, Guion"
Alyssa Casanova,Desconocido,Nominado,"['The Choice', 'Voiceless', 'Salvation', 'The Surge']",Reparto
Chelsea Sinead Rea,Desconocido,Nominado,['Voiceless'],Reparto
Geche Mancini,Desconocido,Nominado,['Voiceless'],Reparto
Ashley Lovell,Desconocido,Nominado,"['The White Room', ""Don't Mind Me"", 'Awkwardly', '2018 • 1 episodio', '2010']","Reparto, Cámara y electricidad, Producción"
Tai Anderson,Desconocido,Nominado,"['Distorted', 'The 4th Quarter', 'Restless', 'Autumn Gaines']","Reparto, Producción, Guion"
Travis Cure,Desconocido,No tiene galardones ni nominaciones,"['The Oval', '2019–2024 • 112 episodios', 'Dre', 'David', 'Reese Anthony']","Reparto, Producción"
Alyvia Bush,Desconocido,No tiene galardones ni nominaciones,"['The Adventures of Jane and Kate', 'Mind Games', 'Mr. Incubus', 'Alexis Cooper']","Reparto, Dirección, Guion"
Joshua L. Eady,Desconocido,No tiene galardones ni nominaciones,"['Juego de ladrones: El atraco perfecto', 'Plan de escape 2: Hades', 'Paradise', 'Jacquilynn the Ripper']","Reparto, Equipos adicionales"
Tyrone Tisdale,Desconocido,Nominado,['Paradise'],Reparto
Jerry Irwin,Desconocido,Nominado,"['Greed: Heavy Is the Hand', 'Paradise', 'Lock & Key', 'Lock & Key 2: The Fallout']","Reparto, Cámara y electricidad, Arte"
Erica Sutherland,Desconocido,Nominado,"['Love & Elevators', 'King of Kings', 'Lock & Key', 'Restless']","Reparto, Guion, Producción"
Luther Thompson Jr.,Desconocido,Nominado,"['Paradise', 'Fixation 2 UpRising', 'A Just Cause', 'Deadpool & Black Panther: The Gauntlet', '2016']",Reparto
Ally Ibach,Desconocido,No tiene galardones ni nominaciones,"['Lady Lazarus: Across the Pond', 'Vídeo', '8,7', 'The Truth The Whole Truth and Nothing is The Truth']","Reparto, Guion, Producción"
Veronica Narang,Desconocido,No tiene galardones ni nominaciones,"['Disappear', 'Who Knocks', 'Poison Sky', 'Veronica']","Reparto, Producción, Guion"
January Queen,Desconocido,No tiene galardones ni nominaciones,"['The Last Movie Ever Made', 'Wrath of the Viper Sniper', 'The Dark Side Of Opulent III', '2,2']","Maquillaje, Reparto, Equipos adicionales"
Susan Rienzo,Desconocido,No tiene galardones ni nominaciones,"['This Is Gonna Be Awesome', '8,8', '8,4', '5,0']","Reparto, Producción, Dirección"
Sweis Sweis,Desconocido,Nominado,"['Vengeance: A Phoenix Tail', '2016', '2018', '2012', '2017']","Reparto, Guion, Producción"
Elijah Davis,Desconocido,No tiene galardones ni nominaciones,"['Delayed Gratification', '2017', '2019', '2018–2020 • 6 episodios', 'Lavern Ward']","Reparto, Especialistas"
Audie Hermiz,Desconocido,Nominado,['Night Out'],Reparto
Michael Baumgart,Desconocido,Nominado,"['The Martial Arts Kid', 'Smitty', 'Paying Mr. McGetty', 'Hollywood Laundromat']","Producción, Guion, Dirección"
George Kando,Desconocido,Nominado,['Night Out'],Reparto
Dan Devers,Desconocido,Nominado,['Night Out'],Reparto
Emma Aguirre,1945,No tiene galardones ni nominaciones,"['Hospital Central', '2003 • 1 episodio', 'Lo mejor de cada casa (Una semana en el parque)', 'Ser como antes']","Reparto, Guion, Maquillaje"
Gabriel K. Samakuva,Desconocido,Nominado,['Partir de Cero'],Reparto
Jesús Cenizo,Desconocido,No tiene galardones ni nominaciones,"['El viaje de mi vida', 'Partir de Cero', 'Uno de cien', 'Sabbat']","Reparto, Dirección de la segunda unidad o asistencia a dirección"
Claudia Paz,Desconocido,Nominado,['¿Qué culpa tiene el niño?'],Arte
Shenda Román,1928,No tiene galardones ni nominaciones,"['Santiago Violenta', 'Tres tristes tigres', 'El chacal de Nahueltoro', 'Nadie dijo nada']",Reparto
Luis Vilches,Desconocido,Nominado,"['Nadie dijo nada', 'El tango del viudo y su espejo deformante', 'El litre 4916']",Reparto
Alonso Venegas,Desconocido,No tiene galardones ni nominaciones,"['Emilia Perez', '5,2', 'Wachez 3', 'Alonso']",Reparto
Sergio Hernández,1945,Nominado,"['Gloria', 'Una mujer fantástica', 'La Sagrada Familia', 'No']","Reparto, Dirección de fotografía y cámara, Cámara y electricidad"
Chamila Rodríguez,1975,No tiene galardones ni nominaciones,"['Litoral', '2008 • 4 episodios', 'Producción', 'Reparto']","Reparto, Producción, Dirección"
Néstor Cantillana,1975,Nominado,"['No', 'Romané', '2000 • 3 episodios', 'Marco Toselli', 'Silvio']",Reparto
Dionne Alexander,Desconocido,No tiene galardones ni nominaciones,['Sin datos'],"Vídeo, 1992"
Jay Amari,Desconocido,No tiene galardones ni nominaciones,"['Manalive', 'Love & Orgasms', 'Juvenile Delinquents: New World Order', 'Nick Adrian: Security Guard', '2004']",Reparto
Mark Balet,Desconocido,Nominado,['Surf Games: Desafío en la playa'],Diseño de producción
Gloria Barnes,Desconocido,No tiene galardones ni nominaciones,"['El secreto de Thomas Crown', 'Love & Orgasms', 'Marci X', 'The Debtors']",Reparto
April Barton,Desconocido,Nominado,['The Jonestown Defense'],Reparto
Christopher Batyr,Desconocido,Nominado,"[""Ocean's 8"", 'New York November', 'Fair Lawn', '2010', '1998']",Reparto
Hod Berman,Desconocido,Nominado,"['Love & Orgasms', 'Free Lunch', '2005', '2004']",Reparto
Drena De Niro,septiembre,Nominado,"['Joy', 'Ha nacido una estrella', 'Así nos ven', '2019 • 1 episodio']","Reparto, Producción"
Jay Huguley,1966,Nominado,"['12 años de esclavitud', 'Los ojos de Tammy Faye', 'True Detective', '2014 • 1 episodio', 'David']",Reparto
Robert Walden,1943,Nominado,"['Brothers', '1984–1989 • 115 episodios', '1972', '1976', 'Joe Rossi']","Reparto, Dirección, Guion"
